Todd Gurley		LAR/12	1.02	0	1	12/14/15	12.3	1.2	0.1	93%
LeVeon Bell		PIT/7	1.02	0	1	13/14/15	12.0	1.2	0.0	87%
David Johnson		ARI/9	1.04	0.07142857143	1	0/1/1	11.0	0.9	0.9	80%
Ezekiel Elliott		DAL/8	1.04	-0.07142857143	1	7/8/9	10.6	1.3	0.5	75%
Alvin Kamara		NO/6	1.08	-0.07142857143	1	8/12/14	9.4	1.0	-0.4	69%
Saquon Barkley		NYG/9	1.09	-0.1428571429	2	0/0/0	8.2	0.9	0.3	65%
Melvin Gordon		LAC/8	1.13	-0.07142857143	2	10/12/15	8.1	1.0	0.7	60%
Leonard Fournette		JAX/9	2.01	-0.2142857143	2	8/10/12	8.0	1.0	1.1	56%
Kareem Hunt		KC/12	1.13	-0.2857142857	2	8/12/15	7.8	1.1	0.4	52%
Dalvin Cook		MIN/10	2.02	-0.2142857143	3	3/3/4	7.7	1.0	0.6	47%
Devonta Freeman		ATL/8	2.08	0.07142857143	3	5/10/12	6.3	0.6	0.3	44%
Christian McCaffrey		CAR/4	2.09	-0.2857142857	3	5/9/15	6.3	1.0	0.4	40%
Jerick McKinnon		SF/11	2.12	0.07142857143	3	5/6/14	5.9	1.1	-0.1	37%
Joe Mixon		CIN/9	3.01	-0.3571428571	5	1/7/10	5.3	0.9	0.5	34%
Jordan Howard		CHI/5	2.13	0.07142857143	5	7/9/15	5.1	0.9	-0.3	31%
LeSean McCoy		BUF/11	3.09	-0.4285714286	6	7/12/15	4.7	2.0	-0.1	29%
Alex Collins		BAL/10	3.14	0.2142857143	6	4/5/10	4.2	0.7	0.1	26%
Kenyan Drake		MIA/11	4.02	-0.2857142857	6	4/6/11	4.0	1.1	0.6	24%
Jay Ajayi		PHI/9	4.06	0.1428571429	7	2/7/12	3.8	0.7	0.1	22%
Lamar Miller		HOU/10	4.13	0.07142857143	8	3/10/14	3.4	0.9	0.6	20%
Derrick Henry		TEN/8	4.11	-0.7142857143	8	3/4/8	3.4	1.1	0.8	18%
Mark Ingram		NO/6	5.02	0.07142857143	9	8/14/15	3.1	1.0	0.3	17%
Dion Lewis		TEN/8	5.01	0.4285714286	9	3/9/10	2.8	0.6	0.7	15%
Rex Burkhead		NE/11	6.05	0.2142857143	12	4/6/8	2.7	1.1	0.5	14%
Royce Freeman		DEN/10	5.06	0	9	0/0/0	2.7	1.7	0.2	12%
Tevin Coleman		ATL/8	6.05	-0.07142857143	11	3/8/11	2.5	0.5	0.5	11%
Marshawn Lynch		OAK/7	6.09	-0.4285714286	10	3/9/10	2.4	1.2	0.4	9%
Rashaad Penny		SEA/7	5.10	-0.8571428571	8	0/0/0	2.4	1.4	0.7	8%
Isaiah Crowell		NYJ/11	7.11	-0.5714285714	13	3/7/14	1.9	1.0	0.5	7%
Ronald Jones		TB/5	6.07	-1.285714286	9	0/0/0	1.7	1.4	-0.1	6%
Marlon Mack		IND/9	7.13	-0.5	13	1/2/7	1.5	1.2	0.5	5%
Tarik Cohen		CHI/5	7.14	-1.142857143	14	2/5/12	1.4	0.8	0.3	5%
Sony Michel		NE/11	6.06	-0.4285714286	9	0/0/0	1.4	1.5	0.4	4%
Jamaal Williams		GB/7	8.02	-0.5	14	3/4/7	1.2	1.0	0.4	3%
Duke Johnson		CLE/11	7.07	-0.07142857143	14	6/11/15	1.2	0.7	-0.4	2%
Kerryon Johnson		DET/6	7.06	-0.4285714286	14	0/0/0	1.1	1.2	-0.3	2%
Carlos Hyde		CLE/11	8.01	-0.5	17	6/11/15	1.1	1.1	-0.3	1%
Chris Thompson		WAS/4	7.08	0.07142857143	16	5/7/11	1.1	2.2	0.3	1%
Devontae Booker		DEN/10	10.09	0.2142857143	16	0/4/10	0.6	0.7	0.1	0%
Giovani Bernard		CIN/9	10.06	0	17	3/6/10	0.4	0.9	-0.2	0%
James White		NE/11	11.02	0.5714285714	18	1/6/9	0.1	0.7	-0.2	0%
Bilal Powell		NYJ/11	11.02	1.857142857	19	2/6/13	0.0	0.7	-0.3	0%
CJ Anderson		CAR/4	8.08	0.4285714286	17	3/9/13	0.0	0.8	0.1	0%
Ty Montgomery		GB/7	10.03	-0.4285714286	20	2/3/4	-0.1	1.1	-0.1	0%
Theo Riddick		DET/6	11.01	1.071428571	20	2/4/13	-0.4	0.8	0.9	0%
Corey Clement		PHI/9	11.10	-0.3571428571	21	1/2/13	-0.6	1.1	0.1	0%
Latavius Murray		MIN/10	12.07	-0.7857142857	21	4/6/11	-0.7	1.0	0.3	0%
Matt Breida		SF/11	12.06	0.1428571429	20	2/4/14	-0.9	0.9	0.3	0%
Nyheim Hines		IND/9	12.02	-1.5	20	0/0/0	-0.9	1.0	1.1	0%
Chris Carson		SEA/7	10.11	-0.3571428571	21	0/2/4	-1.0	1.1	0.9	0%
Samaje Perine		WAS/4	11.12	1	#N/A	2/5/10	-1.2	1.9	0.2	0%
Austin Ekeler		LAC/8	14.04	-0.07142857143	21	1/4/10	-1.2	1.1	0.4	0%
Javorius Allen		BAL/10	15.04	-0.07142857143	#N/A	4/5/14	-1.2	1.1	0.3	0%
Frank Gore		MIA/11	13.03	1.642857143	23	3/10/14	-1.2	1.1	0.6	0%
Doug Martin		OAK/7	12.11	-1.5	24	1/3/6	-1.3	1.0	0.3	0%
Chris Ivory		BUF/11	13.12	2.357142857	21	1/3/8	-1.3	1.0	-0.9	0%
Nick Chubb		CLE/11	10.04	-1.285714286	18	0/0/0	-1.3	1.8	0.5	0%
Aaron Jones		GB/7	10.01	-0.4285714286	20	2/3/6	-1.4	1.4	0.1	0%
Peyton Barber		TB/5	12.04	1.428571429	23	1/3/8	-1.4	1.6	0.5	0%
Rob Kelley		WAS/4	#N/A	#N/A	#N/A	1/1/3	-1.4	2.0	0.8	0%
DOnta Foreman		HOU/10	12.05	-1.785714286	20	0/0/1	-1.5	0.9	0.6	0%
TJ Yeldon		JAX/9	14.04	0.9285714286	24	2/2/6	-1.6	1.0	0.5	0%
LeGarrette Blount		DET/6	13.03	-1.428571429	24	1/5/9	-1.8	1.5	0.7	0%
Kenneth Dixon		BAL/10	13.12	2.5	23	0/0/0	-2.0	1.7	-0.3	0%
Darren Sproles		PHI/9	14.07	3.142857143	#N/A	0/1/2	-2.2	1.4	0.6	0%
Spencer Ware		KC/12	14.10	1.357142857	25	0/0/0	-2.4	1.1	-0.9	0%
Jordan Wilkins		IND/9	13.06	-0.5	#N/A	0/0/0	-3.0	2.3	1.3	0%
Jalen Richard		OAK/7	#N/A	#N/A	#N/A	0/1/8	-3.1	1.1	-0.5	0%
Kyle Juszczyk		SF/11	#N/A	#N/A	#N/A	0/2/12	-3.2	1.0	-0.6	0%
Jonathan Stewart		NYG/9	16.07	-0.8571428571	#N/A	2/6/14	-3.4	1.2	0.7	0%
Elijah McGuire		NYJ/11	17.06	-0.2857142857	#N/A	2/2/7	-3.5	1.2	0.1	0%
Wayne Gallman		NYG/9	15.06	7.928571429	#N/A	0/5/11	-3.6	1.1	-0.1	0%
Charles Sims		TB/5	#N/A	#N/A	#N/A	0/1/11	-3.7	1.2	0.6	0%
Corey Grant		JAX/9	17.07	1.785714286	#N/A	0/3/6	-3.7	0.9	-0.9	0%
Rod Smith		DAL/8	#N/A	#N/A	#N/A	1/4/9	-3.8	1.1	-1.2	0%
Chase Edmonds		ARI/9	#N/A	#N/A	#N/A	0/0/0	-3.9	1.6	0.2	0%
CJ Prosise		SEA/7	17.11	2.071428571	#N/A	0/1/2	-4.2	1.4	0.1	0%
Kalen Ballage		MIA/11	15.08	-2.928571429	#N/A	0/0/0	-4.2	1.6	0.2	0%
